Iteration,Element No.,Algorithm,Time
1,10000,Recursive Quicksort,0.001000
1,10000,Library qsort,0.005000
1,10000,Heapsort,0.005000
1,10000,Bubblesort,0.256000
1,10000,Shakersort,0.218000
1,10000,Insertionsort,0.061000
1,10000,Selectionsort,0.118000
2,10000,Recursive Quicksort,0.002000
2,10000,Library qsort,0.005000
2,10000,Heapsort,0.005000
2,10000,Bubblesort,0.246000
2,10000,Shakersort,0.208000
2,10000,Insertionsort,0.057000
2,10000,Selectionsort,0.114000
3,10000,Recursive Quicksort,0.002000
3,10000,Library qsort,0.005000
3,10000,Heapsort,0.004000
3,10000,Bubblesort,0.244000
3,10000,Shakersort,0.205000
3,10000,Insertionsort,0.057000
3,10000,Selectionsort,0.114000
4,10000,Recursive Quicksort,0.002000
4,10000,Library qsort,0.005000
4,10000,Heapsort,0.004000
4,10000,Bubblesort,0.243000
4,10000,Shakersort,0.207000
4,10000,Insertionsort,0.058000
4,10000,Selectionsort,0.113000
5,10000,Recursive Quicksort,0.001000
5,10000,Library qsort,0.005000
5,10000,Heapsort,0.005000
5,10000,Bubblesort,0.239000
5,10000,Shakersort,0.208000
5,10000,Insertionsort,0.057000
5,10000,Selectionsort,0.113000
6,10000,Recursive Quicksort,0.002000
6,10000,Library qsort,0.005000
6,10000,Heapsort,0.004000
6,10000,Bubblesort,0.242000
6,10000,Shakersort,0.205000
6,10000,Insertionsort,0.055000
6,10000,Selectionsort,0.113000
7,10000,Recursive Quicksort,0.002000
7,10000,Library qsort,0.004000
7,10000,Heapsort,0.005000
7,10000,Bubblesort,0.240000
7,10000,Shakersort,0.205000
7,10000,Insertionsort,0.056000
7,10000,Selectionsort,0.115000
8,10000,Recursive Quicksort,0.002000
8,10000,Library qsort,0.005000
8,10000,Heapsort,0.005000
8,10000,Bubblesort,0.239000
8,10000,Shakersort,0.204000
8,10000,Insertionsort,0.056000
8,10000,Selectionsort,0.115000
9,10000,Recursive Quicksort,0.002000
9,10000,Library qsort,0.004000
9,10000,Heapsort,0.005000
9,10000,Bubblesort,0.239000
9,10000,Shakersort,0.203000
9,10000,Insertionsort,0.056000
9,10000,Selectionsort,0.112000
10,10000,Recursive Quicksort,0.001000
10,10000,Library qsort,0.005000
10,10000,Heapsort,0.005000
10,10000,Bubblesort,0.242000
10,10000,Shakersort,0.205000
10,10000,Insertionsort,0.057000
10,10000,Selectionsort,0.111000
11,10000,Recursive Quicksort,0.001000
11,10000,Library qsort,0.005000
11,10000,Heapsort,0.004000
