Element No.,Algorithm,Average Time
10000,Recursive Quicksort,0.001480
10000,Library qsort,0.004440
10000,Heapsort,0.004360
10000,Bubblesort,0.288200
10000,Shakersort,0.227360
10000,Insertionsort,0.069680
10000,Selectionsort,0.130400
20000,Recursive Quicksort,0.003000
20000,Library qsort,0.008960
20000,Heapsort,0.009360
20000,Bubblesort,1.157320
20000,Shakersort,0.934280
20000,Insertionsort,0.265320
20000,Selectionsort,0.486000
30000,Recursive Quicksort,0.004520
30000,Library qsort,0.013920
30000,Heapsort,0.014520
30000,Bubblesort,2.585120
30000,Shakersort,2.152680
30000,Insertionsort,0.589480
30000,Selectionsort,1.079640
40000,Recursive Quicksort,0.007400
40000,Library qsort,0.024640
40000,Heapsort,0.023120
40000,Bubblesort,5.395920
40000,Shakersort,4.683000
40000,Insertionsort,1.277120
40000,Selectionsort,2.238040
50000,Recursive Quicksort,0.009160
50000,Library qsort,0.028160
50000,Heapsort,0.029880
50000,Bubblesort,8.238560
50000,Shakersort,7.194800
50000,Insertionsort,1.926440
50000,Selectionsort,3.516920
60000,Recursive Quicksort,0.010360
60000,Library qsort,0.034360
60000,Heapsort,0.034760
60000,Bubblesort,11.000879
60000,Shakersort,10.036001
60000,Insertionsort,2.694600
60000,Selectionsort,4.872440
70000,Recursive Quicksort,0.011280
70000,Library qsort,0.036080
70000,Heapsort,0.037520
70000,Bubblesort,13.639801
70000,Shakersort,12.602320
70000,Insertionsort,3.350320
70000,Selectionsort,6.160321
80000,Recursive Quicksort,0.013040
80000,Library qsort,0.041200
80000,Heapsort,0.042800
80000,Bubblesort,17.016640
80000,Shakersort,16.556799
80000,Insertionsort,4.406841
80000,Selectionsort,8.043159
90000,Recursive Quicksort,0.015160
90000,Library qsort,0.048560
90000,Heapsort,0.051160
90000,Bubblesort,21.223761
90000,Shakersort,20.821760
90000,Insertionsort,5.527600
90000,Selectionsort,10.127961
100000,Recursive Quicksort,0.016360
100000,Library qsort,0.050680
100000,Heapsort,0.053720
100000,Bubblesort,25.118519
100000,Shakersort,25.478680
100000,Insertionsort,6.756720
100000,Selectionsort,12.390879
