Iteration,Element No.,Algorithm,Time
1,10000,Recursive Quicksort,0.002000
1,10000,Library qsort,0.006000
1,10000,Heapsort,0.006000
1,10000,Bubblesort,0.300000
1,10000,Shakersort,0.228000
1,10000,Insertionsort,0.067000
1,10000,Selectionsort,0.133000
2,10000,Recursive Quicksort,0.001000
2,10000,Library qsort,0.003000
2,10000,Heapsort,0.005000
2,10000,Bubblesort,0.303000
2,10000,Shakersort,0.228000
2,10000,Insertionsort,0.069000
2,10000,Selectionsort,0.135000
3,10000,Recursive Quicksort,0.002000
3,10000,Library qsort,0.005000
3,10000,Heapsort,0.004000
3,10000,Bubblesort,0.290000
3,10000,Shakersort,0.227000
3,10000,Insertionsort,0.073000
3,10000,Selectionsort,0.133000
4,10000,Recursive Quicksort,0.002000
4,10000,Library qsort,0.005000
4,10000,Heapsort,0.005000
4,10000,Bubblesort,0.289000
4,10000,Shakersort,0.227000
4,10000,Insertionsort,0.087000
4,10000,Selectionsort,0.131000
5,10000,Recursive Quicksort,0.002000
5,10000,Library qsort,0.004000
5,10000,Heapsort,0.004000
5,10000,Bubblesort,0.288000
5,10000,Shakersort,0.214000
5,10000,Insertionsort,0.064000
5,10000,Selectionsort,0.126000
6,10000,Recursive Quicksort,0.001000
6,10000,Library qsort,0.004000
6,10000,Heapsort,0.005000
6,10000,Bubblesort,0.276000
6,10000,Shakersort,0.211000
6,10000,Insertionsort,0.067000
6,10000,Selectionsort,0.128000
7,10000,Recursive Quicksort,0.001000
7,10000,Library qsort,0.004000
7,10000,Heapsort,0.004000
7,10000,Bubblesort,0.276000
7,10000,Shakersort,0.224000
7,10000,Insertionsort,0.070000
7,10000,Selectionsort,0.123000
8,10000,Recursive Quicksort,0.002000
8,10000,Library qsort,0.004000
8,10000,Heapsort,0.004000
8,10000,Bubblesort,0.272000
8,10000,Shakersort,0.208000
8,10000,Insertionsort,0.063000
8,10000,Selectionsort,0.124000
9,10000,Recursive Quicksort,0.002000
9,10000,Library qsort,0.004000
9,10000,Heapsort,0.004000
9,10000,Bubblesort,0.276000
9,10000,Shakersort,0.217000
9,10000,Insertionsort,0.064000
9,10000,Selectionsort,0.127000
10,10000,Recursive Quicksort,0.001000
10,10000,Library qsort,0.005000
10,10000,Heapsort,0.004000
10,10000,Bubblesort,0.273000
10,10000,Shakersort,0.230000
10,10000,Insertionsort,0.067000
10,10000,Selectionsort,0.124000
11,10000,Recursive Quicksort,0.001000
11,10000,Library qsort,0.004000
11,10000,Heapsort,0.004000
11,10000,Bubblesort,0.275000
11,10000,Shakersort,0.217000
11,10000,Insertionsort,0.065000
11,10000,Selectionsort,0.130000
12,10000,Recursive Quicksort,0.002000
12,10000,Library qsort,0.004000
12,10000,Heapsort,0.005000
12,10000,Bubblesort,0.300000
12,10000,Shakersort,0.224000
12,10000,Insertionsort,0.069000
12,10000,Selectionsort,0.129000
13,10000,Recursive Quicksort,0.001000
13,10000,Library qsort,0.004000
13,10000,Heapsort,0.004000
13,10000,Bubblesort,0.288000
13,10000,Shakersort,0.216000
13,10000,Insertionsort,0.067000
13,10000,Selectionsort,0.130000
14,10000,Recursive Quicksort,0.002000
14,10000,Library qsort,0.005000
14,10000,Heapsort,0.005000
14,10000,Bubblesort,0.284000
14,10000,Shakersort,0.228000
14,10000,Insertionsort,0.077000
14,10000,Selectionsort,0.138000
15,10000,Recursive Quicksort,0.001000
15,10000,Library qsort,0.006000
15,10000,Heapsort,0.004000
15,10000,Bubblesort,0.300000
15,10000,Shakersort,0.234000
15,10000,Insertionsort,0.072000
15,10000,Selectionsort,0.134000
16,10000,Recursive Quicksort,0.001000
16,10000,Library qsort,0.004000
16,10000,Heapsort,0.004000
16,10000,Bubblesort,0.287000
16,10000,Shakersort,0.222000
16,10000,Insertionsort,0.069000
16,10000,Selectionsort,0.126000
17,10000,Recursive Quicksort,0.002000
17,10000,Library qsort,0.004000
17,10000,Heapsort,0.005000
17,10000,Bubblesort,0.290000
17,10000,Shakersort,0.232000
17,10000,Insertionsort,0.068000
17,10000,Selectionsort,0.136000
18,10000,Recursive Quicksort,0.001000
18,10000,Library qsort,0.005000
18,10000,Heapsort,0.004000
18,10000,Bubblesort,0.273000
18,10000,Shakersort,0.213000
18,10000,Insertionsort,0.070000
18,10000,Selectionsort,0.125000
19,10000,Recursive Quicksort,0.001000
19,10000,Library qsort,0.004000
19,10000,Heapsort,0.004000
19,10000,Bubblesort,0.281000
19,10000,Shakersort,0.240000
19,10000,Insertionsort,0.069000
19,10000,Selectionsort,0.136000
20,10000,Recursive Quicksort,0.001000
20,10000,Library qsort,0.004000
20,10000,Heapsort,0.004000
