Iteration,Element No.,Algorithm,Time
1,10000,Recursive Quicksort,0.001000
1,10000,Library qsort,0.005000
1,10000,Heapsort,0.005000
1,10000,Bubblesort,0.368000
1,10000,Shakersort,0.336000
1,10000,Insertionsort,0.106000
1,10000,Selectionsort,0.221000
2,10000,Recursive Quicksort,0.002000
2,10000,Library qsort,0.008000
2,10000,Heapsort,0.020000
2,10000,Bubblesort,0.305000
2,10000,Shakersort,0.246000
2,10000,Insertionsort,0.070000
2,10000,Selectionsort,0.139000
3,10000,Recursive Quicksort,0.002000
3,10000,Library qsort,0.008000
3,10000,Heapsort,0.005000
3,10000,Bubblesort,0.293000
3,10000,Shakersort,0.269000
3,10000,Insertionsort,0.065000
3,10000,Selectionsort,0.145000
4,10000,Recursive Quicksort,0.001000
4,10000,Library qsort,0.006000
4,10000,Heapsort,0.006000
4,10000,Bubblesort,0.311000
4,10000,Shakersort,0.256000
