Iteration,Element No.,Algorithm,Time
1,10000,Recursive Quicksort,0.001000
1,10000,Library qsort,0.007000
1,10000,Heapsort,0.005000
1,10000,Bubblesort,0.270000
1,10000,Shakersort,0.226000
1,10000,Insertionsort,0.062000
1,10000,Selectionsort,0.124000
2,10000,Recursive Quicksort,0.001000
2,10000,Library qsort,0.006000
2,10000,Heapsort,0.005000
2,10000,Bubblesort,0.269000
2,10000,Shakersort,0.227000
2,10000,Insertionsort,0.063000
2,10000,Selectionsort,0.123000
3,10000,Recursive Quicksort,0.002000
3,10000,Library qsort,0.005000
3,10000,Heapsort,0.005000
3,10000,Bubblesort,0.274000
3,10000,Shakersort,0.223000
3,10000,Insertionsort,0.062000
3,10000,Selectionsort,0.126000
4,10000,Recursive Quicksort,0.001000
4,10000,Library qsort,0.005000
4,10000,Heapsort,0.006000
4,10000,Bubblesort,0.271000
4,10000,Shakersort,0.224000
4,10000,Insertionsort,0.062000
4,10000,Selectionsort,0.123000
5,10000,Recursive Quicksort,0.001000
5,10000,Library qsort,0.006000
5,10000,Heapsort,0.005000
5,10000,Bubblesort,0.262000
5,10000,Shakersort,0.225000
5,10000,Insertionsort,0.062000
5,10000,Selectionsort,0.123000
1,20000,Recursive Quicksort,0.003000
1,20000,Library qsort,0.011000
1,20000,Heapsort,0.011000
1,20000,Bubblesort,1.111000
1,20000,Shakersort,0.928000
1,20000,Insertionsort,0.249000
1,20000,Selectionsort,0.490000
2,20000,Recursive Quicksort,0.003000
2,20000,Library qsort,0.012000
2,20000,Heapsort,0.010000
2,20000,Bubblesort,1.120000
2,20000,Shakersort,0.920000
2,20000,Insertionsort,0.267000
2,20000,Selectionsort,0.489000
3,20000,Recursive Quicksort,0.003000
3,20000,Library qsort,0.011000
3,20000,Heapsort,0.012000
3,20000,Bubblesort,1.118000
3,20000,Shakersort,0.920000
3,20000,Insertionsort,0.251000
3,20000,Selectionsort,0.495000
4,20000,Recursive Quicksort,0.003000
4,20000,Library qsort,0.011000
4,20000,Heapsort,0.011000
4,20000,Bubblesort,1.110000
4,20000,Shakersort,0.927000
4,20000,Insertionsort,0.243000
4,20000,Selectionsort,0.498000
5,20000,Recursive Quicksort,0.002000
5,20000,Library qsort,0.012000
5,20000,Heapsort,0.013000
5,20000,Bubblesort,1.116000
5,20000,Shakersort,0.926000
5,20000,Insertionsort,0.248000
5,20000,Selectionsort,0.487000
